AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,0,0,0.4583664,0.286479,0
0.001,0,0.026,0.4010706,0.2291832,0.0572958
0.008,-0.049,0.084,0.0572958,-0.5156622,-1.145916
0.055,-0.002,-0.056,0.286479,1.2032118,-0.0572958
0.139,-0.312,0.016,-1.145916,-0.2291832,-2.0626488
0.145,-0.216,0.552,0.1718874,-0.0572958,1.432395
0,0,0,0.6302538,0.4010706,0.1145916
0.002,-0.001,0.026,0.4583664,0.0572958,0.1145916
0.007,-0.045,0.086,-0.1145916,-0.3437748,-1.3750992
0.053,0.002,-0.06,0.4010706,1.6042824,-0.0572958
0.14,-0.311,0.012,2.9793816,-0.1718874,-2.4064236
0.149,-0.22,0.553,-0.1718874,0,1.6615782
0,0,0,0.6302538,0.5156622,0.1145916
0.001,-0.003,0.024,0.3437748,0,0.0572958
0.006,-0.049,0.085,-0.4583664,-0.1718874,-1.432395
0.049,0.005,-0.061,0.1145916,1.2032118,0
0.136,-0.304,0.008,5.5003968,-0.4010706,-2.6356068
0.152,-0.22,0.551,-0.1145916,0,1.4896908
0,0,0,0.6875496,0.6302538,0.1145916
0.001,-0.007,0.024,0.2291832,0.1145916,0.1145916
0.002,-0.056,0.084,-0.859437,0,-1.3178034
0.046,0.002,-0.058,-0.0572958,0.4583664,0.0572958
0.139,-0.292,0.009,4.9274388,-0.1718874,-2.6929026
0.151,-0.221,0.552,0.0572958,0.1718874,1.3178034
0,0,0,0.6875496,0.6302538,0
0.003,-0.008,0.021,0.4583664,0,0.1718874
-0.003,-0.061,0.083,-1.145916,0,-1.0313244
0.044,-0.001,-0.056,-0.1145916,-0.1145916,0.1145916
0.141,-0.29,0.009,2.2345362,0,-2.7501984
0.151,-0.224,0.552,0.3437748,-0.0572958,1.0313244
0,0,0,0.6302538,0.5156622,0
0,-0.007,0.02,0.5156622,0.0572958,0.1145916
-0.005,-0.063,0.081,-1.3178034,0,-0.8021412
0.043,-0.007,-0.049,-0.1145916,-0.4583664,0.0572958
0.14,-0.293,0.013,-0.9740286,-0.0572958,-2.7501984
0.149,-0.222,0.551,0.286479,-0.2291832,0.8021412
0,0,0,0.4010706,0.286479,0
-0.004,-0.007,0.021,0.6302538,-0.0572958,0.0572958
-0.005,-0.067,0.082,-1.3750992,-0.1718874,-0.572958
0.044,-0.012,-0.046,0,-0.6875496,0.0572958
0.139,-0.295,0.017,-3.5523396,-0.0572958,-2.6356068
0.145,-0.217,0.555,0,-0.5156622,0.6875496
0,0,0,0.4010706,0,0
-0.002,-0.006,0.024,0.7448454,-0.572958,0.0572958
-0.003,-0.066,0.083,-1.3178034,-0.5156622,-0.4010706
0.048,-0.013,-0.049,0.286479,-0.4010706,0
0.135,-0.299,0.021,-5.7868758,0.0572958,-2.3491278
0.143,-0.216,0.555,-0.7448454,-0.8021412,0.7448454
0,0,0,0.0572958,-0.2291832,0
-0.003,-0.004,0.023,0.8021412,-0.572958,-0.1145916
-0.001,-0.064,0.083,-1.0886202,-0.8021412,-0.3437748
0.05,-0.009,-0.051,0.4583664,-0.4583664,0
0.134,-0.312,0.028,-7.0473834,0.5156622,-1.6615782
0.143,-0.216,0.557,-1.7761698,-1.2032118,0.7448454
0,0,0,0.0572958,-0.5156622,0.0572958
-0.003,0,0.023,0.6302538,-0.8021412,-0.2291832
0.001,-0.061,0.084,-0.859437,-1.0886202,-0.286479
0.053,-0.005,-0.053,0.5156622,-0.3437748,0
0.133,-0.32,0.03,-5.7868758,0.4583664,-1.145916
0.141,-0.219,0.558,-2.3491278,-1.432395,0.9167328
0,0,0,0.0572958,-0.572958,0.1145916
0.002,-0.003,0.023,0.2291832,-0.6875496,-0.1145916
0.006,-0.059,0.084,-0.572958,-1.3178034,-0.3437748
0.054,0,-0.054,0.4583664,-0.2291832,0
0.135,-0.325,0.029,-2.6356068,0.572958,-0.8021412
0.141,-0.222,0.56,-2.3491278,-1.718874,1.145916
0,0,0,0.1718874,-0.6302538,0.0572958
0.004,-0.002,0.02,0.1718874,-0.3437748,-0.1145916
0.009,-0.055,0.084,-0.286479,-1.3750992,-0.3437748
0.054,0.003,-0.053,0.3437748,0.0572958,0
0.136,-0.321,0.026,1.2605076,0.3437748,-0.2291832
0.14,-0.223,0.56,-1.8907614,-1.718874,1.0886202
0,0,0,0.3437748,-0.5156622,0.1145916
0.006,0,0.018,0.2291832,-0.1718874,-0.0572958
0.012,-0.053,0.084,-0.1145916,-1.2605076,-0.286479
0.052,0.004,-0.055,0.3437748,0.1145916,0
0.137,-0.316,0.024,3.4950438,0,0.1718874
0.144,-0.224,0.557,-1.2032118,-1.8907614,0.859437
0,0,0,0.3437748,-0.286479,0
0.007,0,0.018,0.286479,-0.5156622,0.0572958
0.011,-0.051,0.084,-0.0572958,-1.0886202,-0.2291832
0.047,0.002,-0.057,0.2291832,0.4583664,0.0572958
0.137,-0.306,0.025,3.3804522,-0.1718874,0.6302538
0.144,-0.221,0.556,-1.145916,-1.8334656,0.572958
0,0,0,0.4010706,-0.286479,0
0.005,0,0.022,0.4583664,-0.5156622,0.1145916
0.008,-0.056,0.08,-0.0572958,-0.7448454,-0.0572958
0.043,0,-0.054,0.4010706,0.2291832,0.2291832
0.141,-0.3,0.029,0.6302538,-0.0572958,1.3750992
0.141,-0.219,0.56,-1.6042824,-2.0626488,0.1718874
0,0,0,0.4010706,-0.3437748,0
0.001,-0.004,0.027,0.4583664,-0.6302538,0.0572958
0.006,-0.052,0.08,-0.1145916,-0.4583664,0
0.043,0,-0.053,0.4583664,-0.1145916,0.3437748
0.136,-0.294,0.028,-2.578311,0.0572958,1.8907614
0.145,-0.219,0.561,-2.005353,-2.5210152,-0.1145916
0,0,0,0.1145916,-0.1718874,-0.1145916
-0.002,-0.006,0.029,0.5156622,-0.7448454,-0.0572958
0.003,-0.048,0.078,-0.1718874,-0.1718874,0.0572958
0.044,0,-0.055,0.572958,-0.3437748,0.5156622
0.137,-0.293,0.028,-5.9014674,0.5156622,2.291832
0.144,-0.225,0.559,-1.5469866,-2.8074942,-0.1718874
0,0,0,0.2291832,-0.286479,-0.1145916
-0.005,-0.007,0.031,0.7448454,-1.0313244,-0.1718874
0.001,-0.056,0.075,-0.1718874,0,0.2291832
0.048,-0.002,-0.054,0.4010706,-0.572958,0.4010706
0.141,-0.306,0.029,-7.3338624,0.8021412,2.291832
0.146,-0.229,0.55,-0.0572958,-2.7501984,0
0,0,0,0.2291832,-0.286479,-0.0572958
-0.002,-0.006,0.028,0.8021412,-0.859437,-0.3437748
0,-0.056,0.074,-0.0572958,0.0572958,0.3437748
0.053,-0.003,-0.055,0.6875496,-0.6875496,0.286479
0.136,-0.312,0.027,-5.6722842,1.0313244,2.0626488
0.148,-0.226,0.542,1.3750992,-2.7501984,0.4583664
0,0,0,0.2291832,-0.4010706,0
0.001,-0.005,0.02,0.7448454,-0.4583664,-0.2291832
-0.003,-0.054,0.072,0,0.0572958,0.3437748
0.055,-0.001,-0.054,0.4583664,-0.286479,0.0572958
0.134,-0.319,0.029,-2.1199446,0.859437,1.718874
0.146,-0.219,0.54,1.5469866,-3.0366774,0.6875496
0,0,0,0.1718874,-0.4583664,-0.0572958
0.004,-0.004,0.012,0.572958,-0.2291832,-0.2291832
0,-0.055,0.071,0.2291832,0,0.286479
0.055,-0.002,-0.054,0.1718874,0.1718874,-0.0572958
0.135,-0.312,0.024,3.3231564,1.0313244,1.4896908
0.146,-0.213,0.538,0.4583664,-3.4950438,0.9740286
0,0,0,0.1718874,-0.5156622,0
0.002,-0.004,0.01,0.5156622,-0.1718874,-0.1145916
0.005,-0.055,0.07,0.5156622,0,0.286479
0.052,-0.003,-0.053,0.0572958,0.286479,-0.1145916
0.133,-0.303,0.015,5.72958,0.859437,1.5469866
0.142,-0.217,0.536,-1.0313244,-3.6669312,1.2032118
0,0,0,0.1718874,-0.572958,-0.1145916
0,-0.003,0.01,0.572958,-0.3437748,0
0.006,-0.052,0.07,0.8021412,0,0.4010706
0.051,-0.004,-0.052,-0.1145916,0.1145916,0.1145916
0.128,-0.289,0.013,5.443101,0.9740286,2.0626488
0.141,-0.223,0.531,-2.005353,-3.7815228,1.4896908
0,0,0,0.2291832,-0.859437,-0.1145916
0,-0.001,0.012,0.5156622,-0.1718874,0
0.006,-0.051,0.069,1.0886202,0,0.572958
0.047,-0.004,-0.05,0,-0.2291832,0.1718874
0.131,-0.277,0.01,2.4637194,1.145916,2.86479
0.147,-0.23,0.52,-2.1199446,-3.724227,1.8334656
0,0,0,0.2291832,-0.8021412,-0.1718874
0.001,0,0.016,0.5156622,-0.3437748,-0.1718874
0.006,-0.05,0.069,1.3178034,0.0572958,0.6302538
0.043,-0.004,-0.049,-0.0572958,-0.2291832,0.3437748
0.129,-0.272,0.006,-2.1199446,1.3750992,3.4950438
0.153,-0.231,0.514,-1.2605076,-3.4950438,2.1772404
0,0,0,0.286479,-0.7448454,-0.1145916
0.003,0,0.018,0.3437748,-0.286479,-0.286479
0.002,-0.046,0.068,1.4896908,0.1718874,0.6875496
0.043,-0.005,-0.05,0,-0.0572958,0.1718874
0.134,-0.283,0.006,-5.5003968,1.2032118,3.6096354
0.152,-0.231,0.512,0,-2.9793816,2.578311
0,0,0,0.2291832,-0.5156622,-0.1145916
0.003,-0.003,0.019,0.286479,-0.1145916,-0.286479
0.002,-0.044,0.068,1.5469866,0.2291832,0.572958
0.045,-0.003,-0.051,0.286479,0,0.1145916
0.135,-0.293,0.004,-5.6722842,1.2605076,3.5523396
0.155,-0.228,0.513,1.7761698,-2.1199446,2.86479
0,0,0,0.1145916,-0.286479,-0.0572958
0.003,-0.003,0.019,0.1145916,0.3437748,-0.1145916
0.003,-0.044,0.066,1.4896908,0.286479,0.572958
0.047,-0.002,-0.053,0.572958,-0.1145916,0.1718874
0.132,-0.295,0.001,-3.724227,0.6302538,3.0366774
0.152,-0.221,0.517,2.1772404,-1.4896908,2.86479
0,0,0,0.0572958,-0.1145916,-0.1145916
0.002,-0.002,0.015,0.1718874,0.0572958,0
0.006,-0.044,0.066,1.432395,0.3437748,0.572958
0.05,-0.002,-0.052,0.6302538,-0.1145916,0.1718874
0.132,-0.303,0.003,-0.572958,0.4583664,2.6356068
0.152,-0.215,0.52,1.5469866,-1.3178034,2.5210152
0,0,0,0.0572958,-0.1145916,-0.2291832
0.003,0,0.009,0.3437748,0.0572958,0.0572958
0.007,-0.043,0.064,1.3178034,0.4583664,0.6875496
0.049,-0.001,-0.049,0.5156622,0.286479,0.2291832
0.133,-0.296,0.007,3.0939732,-0.0572958,2.4637194
0.152,-0.21,0.519,0,-1.3178034,2.1199446
0,0,0,0,0,-0.3437748
0.002,0.001,0.009,0.286479,0.1145916,0.1145916
0.006,-0.045,0.062,1.3178034,0.6302538,0.9167328
0.048,-0.002,-0.047,0.4583664,0.5156622,0.0572958
0.135,-0.291,0.004,5.5576926,-0.3437748,2.291832
0.149,-0.211,0.52,-2.005353,-1.7761698,1.5469866
0,0,0,-0.1145916,0.1145916,-0.3437748
-0.004,-0.002,0.012,0.3437748,0.286479,0
0.004,-0.047,0.062,1.2605076,0.7448454,1.0886202
0.045,-0.001,-0.046,0.572958,0.4583664,0.1145916
0.129,-0.28,-0.006,6.016059,-0.572958,2.6356068
0.151,-0.214,0.518,-3.3231564,-2.0626488,1.2605076
0,0,0,-0.1145916,0.1718874,-0.4010706
-0.007,-0.003,0.012,0.3437748,0,-0.1145916
0.004,-0.047,0.061,1.2605076,0.859437,1.145916
0.041,-0.004,-0.047,0.6302538,0.7448454,0.1718874
0.123,-0.271,-0.006,3.724227,-0.8021412,3.0366774
0.147,-0.223,0.52,-3.5523396,-2.2345362,1.4896908
0,0,0,0.0572958,0.1145916,-0.286479
-0.006,-0.003,0.017,0.2291832,-0.3437748,-0.286479
0.006,-0.046,0.062,1.2032118,0.9167328,1.0886202
0.04,-0.005,-0.047,0.8021412,0.6302538,0.1145916
0.134,-0.27,0.001,-0.6875496,-0.8021412,3.5523396
0.145,-0.229,0.52,-2.291832,-1.718874,1.7761698
0,0,0,0,0.286479,-0.286479
-0.002,-0.006,0.017,0.1145916,-0.286479,-0.3437748
0.004,-0.049,0.062,1.145916,0.9740286,0.9740286
0.041,-0.006,-0.048,0.859437,0.4010706,0.1145916
