"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.14","28","0.885","0.1","0.403","0.5690999999999999","0.127","-0.8093999999999999","-0.0696"
"0.14","28","-0.084","-0.821","-0.074","0.7971","-0.43550000000000005","0.331","0.25539999999999996"
"0.14","28","-0.028","0.967","-0.089","0.845","0.4821","-0.1172","0.1991"
"0.145","29","0.779","-0.194","-0.582","0.8026","0.3753","-0.3701","-0.2791"
"0.145","29","0.122","0.919","-0.594","0.5657","0.6434","-0.09659999999999999","-0.5065000000000001"
"0.145","29","0.898","0.054","0.365","0.5014000000000001","-0.3843","-0.7246","0.2751"
"0.145","29","0.882","0.082","0.411","0.5689","0.1264","-0.8096","-0.0693"
"0.145","29","-0.097","-0.846","-0.073","0.7967","-0.43579999999999997","0.3319","0.2548"
"0.145","29","-0.036","0.966","-0.081","0.8445","0.4827","-0.1182","0.1992"
"0.15","30","0.782","-0.174","-0.586","0.8026","0.3773","-0.366","-0.2819"
"0.15","30","0.117","0.924","-0.603","0.5694","0.6433","-0.0969","-0.5024"
"0.15","30","0.908","0.055","0.362","0.5009","-0.3848","-0.7246","0.2753"
"0.15","30","0.879","0.066","0.421","0.5687","0.12589999999999998","-0.8098000000000001","-0.0691"
"0.15","30","-0.107","-0.87","-0.076","0.7964","-0.4361","0.3328","0.2542"
"0.15","30","-0.036","0.958","-0.076","0.844","0.4833","-0.1192","0.1994"
"0.155","31","0.795","-0.148","-0.586","0.8025","0.3792","-0.3619","-0.2847"
"0.155","31","0.112","0.925","-0.617","0.5734","0.6432","-0.0972","-0.49779999999999996"
"0.155","31","0.92","0.053","0.362","0.5004","-0.3854","-0.7246","0.27559999999999996"
"0.155","31","0.873","0.055","0.429","0.5685","0.1253","-0.8101","-0.0688"
"0.155","31","-0.115","-0.885","-0.077","0.7961","-0.4363","0.3337","0.2536"
"0.155","31","-0.034","0.958","-0.077","0.8433999999999999","0.48390000000000005","-0.1202","0.1996"
"0.16","32","0.806","-0.121","-0.592","0.8025","0.381","-0.3579","-0.2874"
"0.16","32","0.122","0.928","-0.617","0.5774","0.6432","-0.09759999999999999","-0.493"
"0.16","32","0.929","0.041","0.364","0.4998","-0.386","-0.7245","0.2758"
"0.16","32","0.87","0.044","0.436","0.5683","0.1248","-0.8103","-0.06860000000000001"
"0.16","32","-0.123","-0.893","-0.075","0.7958000000000001","-0.4366","0.3345","0.253"
"0.16","32","-0.028","0.956","-0.07","0.8429","0.48460000000000003","-0.1212","0.1998"
"0.165","33","0.814","-0.104","-0.604","0.8023999999999999","0.3827","-0.354","-0.2902"
"0.165","33","0.135","0.927","-0.61","0.5816","0.6433","-0.09809999999999999","-0.488"
"0.165","33","0.938","0.03","0.368","0.4993","-0.3866","-0.7245","0.2761"
"0.165","33","0.865","0.037","0.446","0.5681","0.12430000000000001","-0.8105","-0.0684"
"0.165","33","-0.125","-0.899","-0.068","0.7955","-0.4368","0.33530000000000004","0.2524"
"0.165","33","-0.021","0.967","-0.061","0.8423","0.4852","-0.1222","0.2"
"0.17","34","0.814","-0.096","-0.61","0.8023999999999999","0.3843","-0.35009999999999997","-0.2928"
"0.17","34","0.154","0.92","-0.605","0.5859","0.6433","-0.0985","-0.4827"
"0.17","34","0.938","0.023","0.373","0.49870000000000003","-0.38730000000000003","-0.7243999999999999","0.2764"
"0.17","34","0.858","0.033","0.456","0.5679000000000001","0.1238","-0.8108000000000001","-0.06820000000000001"
"0.17","34","-0.121","-0.91","-0.065","0.7953","-0.437","0.3361","0.2517"
"0.17","34","-0.007","0.97","-0.054","0.8417","0.4859","-0.12310000000000001","0.2001"
"0.17500000000000002","35","0.81","-0.083","-0.617","0.8023999999999999","0.38570000000000004","-0.3463","-0.2954"
"0.17500000000000002","35","0.175","0.902","-0.601","0.5902999999999999","0.6433","-0.0989","-0.47709999999999997"
"0.17500000000000002","35","0.932","0.021","0.379","0.4981","-0.388","-0.7243","0.2767"
"0.17500000000000002","35","0.853","0.035","0.463","0.5677","0.1233","-0.8109999999999999","-0.06810000000000001"
"0.17500000000000002","35","-0.114","-0.926","-0.064","0.7950999999999999","-0.4372","0.3368","0.2511"
"0.17500000000000002","35","0.0","0.983","-0.054","0.8412000000000001","0.4866","-0.124","0.2002"
"0.18","36","0.806","-0.08","-0.626","0.8025","0.3869","-0.3426","-0.2978"
"0.18","36","0.198","0.88","-0.6","0.5948","0.6433","-0.0992","-0.47140000000000004"
"0.18","36","0.924","0.024","0.378","0.49749999999999994","-0.3887","-0.7242","0.277"
"0.18","36","0.853","0.023","0.474","0.5675","0.12279999999999999","-0.8112","-0.0679"
"0.18","36","-0.108","-0.948","-0.063","0.795","-0.4373","0.3375","0.2506"
"0.18","36","0.005","0.994","-0.057","0.8406","0.4873","-0.12490000000000001","0.2003"
"0.185","37","0.795","-0.084","-0.638","0.8026","0.3881","-0.3389","-0.3003"
"0.185","37","0.213","0.87","-0.602","0.5993999999999999","0.6433","-0.0993","-0.4657"
"0.185","37","0.919","0.029","0.375","0.497","-0.3894","-0.7241","0.2773"
"0.185","37","0.854","0.016","0.487","0.5673","0.1223","-0.8115","-0.0678"
"0.185","37","-0.101","-0.962","-0.063","0.7948000000000001","-0.43739999999999996","0.33809999999999996","0.25"
"0.185","37","0.011","1.003","-0.054","0.8401","0.488","-0.12589999999999998","0.2004"
"0.19","38","0.788","-0.091","-0.645","0.8028000000000001","0.3892","-0.3352","-0.3026"
"0.19","38","0.222","0.869","-0.608","0.6041000000000001","0.6431","-0.0992","-0.4598"
"0.19","38","0.921","0.032","0.37","0.49640000000000006","-0.3901","-0.7239","0.2777"
"0.19","38","0.857","0.013","0.498","0.5671","0.12190000000000001","-0.8117000000000001","-0.06760000000000001"
"0.19","38","-0.094","-0.976","-0.066","0.7947","-0.43739999999999996","0.3387","0.2496"
"0.19","38","0.023","1.001","-0.06","0.8394999999999999","0.48869999999999997","-0.1268","0.20059999999999997"
"0.195","39","0.773","-0.098","-0.646","0.8029","0.3902","-0.3315","-0.3049"
"0.195","39","0.235","0.865","-0.618","0.6088","0.6429","-0.0989","-0.454"
"0.195","39","0.926","0.03","0.369","0.4958","-0.39089999999999997","-0.7238","0.27799999999999997"
"0.195","39","0.852","0.009","0.502","0.5668","0.1214","-0.8119","-0.0675"
"0.195","39","-0.095","-0.979","-0.067","0.7946","-0.4373","0.3393","0.2493"
"0.195","39","0.023","1.01","-0.05","0.8389","0.4894","-0.1276","0.20059999999999997"
"0.2","40","0.753","-0.106","-0.646","0.8031","0.3911","-0.3278","-0.30720000000000003"
"0.2","40","0.257","0.868","-0.639","0.6136","0.6426000000000001","-0.0984","-0.4481"
"0.2","40","0.927","0.021","0.371","0.4952","-0.3916","-0.7237","0.2784"
"0.2","40","0.85","0.003","0.507","0.5666","0.121","-0.8122","-0.0674"
"0.2","40","-0.102","-0.977","-0.068","0.7945","-0.4372","0.3398","0.24900000000000003"
"0.2","40","0.029","1.011","-0.047","0.8384","0.4901","-0.1285","0.20070000000000002"
"0.20500000000000002","41","0.729","-0.119","-0.647","0.8032999999999999","0.392","-0.3241","-0.3095"
"0.20500000000000002","41","0.306","0.879","-0.674","0.6184000000000001","0.6421","-0.09759999999999999","-0.4422"
"0.20500000000000002","41","0.925","0.009","0.371","0.4946","-0.39239999999999997","-0.7236","0.2787"
"0.20500000000000002","41","0.846","-0.001","0.514","0.5664","0.1206","-0.8124","-0.06720000000000001"
"0.20500000000000002","41","-0.109","-0.97","-0.071","0.7944","-0.43710000000000004","0.3403","0.24889999999999998"
"0.20500000000000002","41","0.028","1.016","-0.05","0.8378","0.4907","-0.1293","0.2008"
"0.21","42","0.721","-0.134","-0.646","0.8035","0.3928","-0.3205","-0.3117"
"0.21","42","0.337","0.894","-0.685","0.6233","0.6416000000000001","-0.09659999999999999","-0.4364"
"0.21","42","0.92","0.0","0.365","0.4939","-0.3932","-0.7234","0.2791"
"0.21","42","0.843","-0.005","0.514","0.5662","0.1202","-0.8126","-0.06720000000000001"
"0.21","42","-0.118","-0.962","-0.071","0.7943","-0.437","0.3407","0.2487"
"0.21","42","0.026","1.026","-0.048","0.8372999999999999","0.49139999999999995","-0.13","0.2009"
"0.215","43","0.71","-0.141","-0.64","0.8037000000000001","0.3937","-0.3168","-0.31379999999999997"
"0.215","43","0.343","0.898","-0.689","0.6282","0.6409","-0.0954","-0.4306"
"0.215","43","0.914","-0.003","0.359","0.49329999999999996","-0.394","-0.7232999999999999","0.2794"
"0.215","43","0.84","-0.008","0.513","0.5660000000000001","0.11979999999999999","-0.8128","-0.0671"
"0.215","43","-0.127","-0.951","-0.076","0.7943","-0.4368","0.3411","0.2487"
"0.215","43","0.031","1.016","-0.056","0.8367000000000001","0.49219999999999997","-0.1308","0.20099999999999998"
"0.24","44","0.665","-0.157","-0.623","0.8039","0.39940000000000003","-0.2983","-0.3241"
"0.24","48","0.254","0.921","-0.661","0.6532","0.6363000000000001","-0.0883","-0.40069999999999995"
"0.24","48","0.894","0.01","0.384","0.49000000000000005","-0.39740000000000003","-0.7231","0.28090000000000004"
"0.24","48","0.854","0.001","0.503","0.5650000000000001","0.11839999999999999","-0.8137000000000001","-0.067"
"0.24","48","-0.168","-0.958","-0.112","0.7946","-0.4351","0.3422","0.24900000000000003"
"0.24","48","0.0","0.992","-0.035","0.8337","0.4963","-0.1339","0.20129999999999998"
"0.245","45","0.665","-0.134","-0.614","0.8038000000000001","0.4008","-0.2945","-0.3261"
"0.245","49","0.223","0.939","-0.654","0.6584","0.6351","-0.0873","-0.3941"
"0.245","49","0.887","0.022","0.402","0.4894","-0.39790000000000003","-0.7231","0.2812"
"0.245","49","0.853","0.004","0.492","0.5648","0.1182","-0.8139","-0.067"
"0.245","49","-0.169","-0.961","-0.118","0.7948999999999999","-0.4345","0.3422","0.24910000000000002"
"0.245","49","-0.006","0.992","-0.047","0.8331","0.49720000000000003","-0.13440000000000002","0.20129999999999998"
"0.25","46","0.658","-0.124","-0.604","0.8036","0.4022","-0.2908","-0.3281"
"0.25","50","0.224","0.951","-0.647","0.6637","0.6339","-0.0866","-0.38730000000000003"
"0.25","50","0.892","0.041","0.404","0.4888","-0.3984","-0.7231","0.2814"
"0.25","50","0.853","0.008","0.485","0.5646","0.11810000000000001","-0.8140000000000001","-0.0671"
"0.25","50","-0.162","-0.959","-0.12","0.7953","-0.4338","0.3422","0.24910000000000002"
"0.25","50","-0.007","0.988","-0.035","0.8324","0.4981","-0.1349","0.20129999999999998"
"0.255","47","0.647","-0.102","-0.6","0.8035","0.4035","-0.2872","-0.3301"
"0.255","51","0.26","0.951","-0.645","0.6691","0.6325999999999999","-0.0863","-0.38029999999999997"
"0.255","51","0.89","0.051","0.419","0.4883","-0.3989","-0.7231","0.2817"
"0.255","51","0.852","0.011","0.484","0.5645","0.1179","-0.8141","-0.0671"
"0.255","51","-0.15","-0.949","-0.119","0.7957","-0.43310000000000004","0.34209999999999996","0.2492"
"0.255","51","-0.013","0.985","-0.026","0.8318","0.499","-0.1355","0.20129999999999998"
"0.26","48","0.639","-0.088","-0.605","0.8032999999999999","0.4048","-0.2835","-0.3321"
