"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.34","34","-0.127","-0.426","-0.849","0.5689","-0.2379","-0.6700999999999999","0.413"
"0.34","34","0.323","0.061","-0.847","0.9832000000000001","-0.0997","-0.0994","0.1157"
"0.34","34","0.047","-0.966","0.028","0.6214000000000001","-0.6586000000000001","-0.3141","-0.2851"
"0.34","34","0.286","-0.912","0.129","0.5997","-0.7227","-0.3419","-0.0311"
"0.34","34","-0.993","0.067","0.03","-0.2069","0.6212","-0.1844","0.7329"
"0.34","34","0.051","0.976","-0.132","0.6312","0.603","0.2996","-0.3846"
"0.35000000000000003","35","-0.138","-0.424","-0.846","0.5690999999999999","-0.23809999999999998","-0.6698000000000001","0.413"
"0.35000000000000003","35","0.332","0.089","-0.855","0.9832000000000001","-0.0993","-0.0986","0.1165"
"0.35000000000000003","35","0.03","-0.988","0.022","0.6216999999999999","-0.6582","-0.3144","-0.28500000000000003"
"0.35000000000000003","35","0.294","-0.917","0.124","0.5993999999999999","-0.7227","-0.3424","-0.0311"
"0.35000000000000003","35","-0.994","0.064","0.033","-0.207","0.6213","-0.1845","0.7327"
"0.35000000000000003","35","0.045","0.974","-0.133","0.6312","0.6027","0.2998","-0.385"
"0.36","36","-0.161","-0.423","-0.845","0.5696","-0.238","-0.6695","0.41289999999999993"
"0.36","36","0.348","0.102","-0.864","0.9833000000000001","-0.0987","-0.0978","0.1172"
"0.36","36","0.02","-1.016","0.012","0.6219","-0.6578999999999999","-0.3146","-0.28500000000000003"
"0.36","36","0.297","-0.911","0.121","0.5992","-0.7227","-0.3428","-0.0312"
"0.36","36","-0.986","0.059","0.039","-0.2071","0.6214000000000001","-0.1847","0.7325999999999999"
"0.36","36","0.046","0.976","-0.128","0.6312","0.6024","0.3","-0.38530000000000003"
"0.37","37","-0.17","-0.419","-0.849","0.5700999999999999","-0.23769999999999997","-0.6694","0.4126"
"0.37","37","0.345","0.096","-0.891","0.9833999999999999","-0.09809999999999999","-0.097","0.1177"
"0.37","37","0.023","-1.023","0.004","0.622","-0.6576","-0.3149","-0.2851"
"0.37","37","0.302","-0.909","0.119","0.5989","-0.7227","-0.3433","-0.0313"
"0.37","37","-0.987","0.051","0.044","-0.20729999999999998","0.6216","-0.18480000000000002","0.7323000000000001"
"0.37","37","0.048","0.981","-0.12","0.6311","0.6023","0.30019999999999997","-0.3856"
"0.38","38","-0.161","-0.401","-0.862","0.5706","-0.2373","-0.6694","0.4121"
"0.38","38","0.321","0.085","-0.909","0.9835","-0.0975","-0.096","0.1182"
"0.38","38","0.035","-1.009","-0.001","0.6222000000000001","-0.6573","-0.315","-0.2852"
"0.38","38","0.306","-0.912","0.119","0.5986","-0.7227","-0.3438","-0.0315"
"0.38","38","-1.0","0.045","0.051","-0.20750000000000002","0.6219","-0.1851","0.7319"
"0.38","38","0.048","0.985","-0.117","0.6311","0.6021","0.3004","-0.38580000000000003"
"0.39","39","-0.152","-0.387","-0.872","0.571","-0.23690000000000003","-0.6694","0.4117"
"0.39","39","0.299","0.073","-0.921","0.9835","-0.0969","-0.095","0.1187"
"0.39","39","0.039","-0.995","0.001","0.6224000000000001","-0.657","-0.31520000000000004","-0.2854"
"0.39","39","0.314","-0.922","0.119","0.5984","-0.7226","-0.3443","-0.0316"
"0.39","39","-1.008","0.047","0.053","-0.20790000000000003","0.6222000000000001","-0.1854","0.7315"
"0.39","39","0.047","0.981","-0.113","0.6311","0.6019","0.3005","-0.3861"
"0.4","40","-0.146","-0.391","-0.873","0.5715","-0.23650000000000002","-0.6694","0.4112"
"0.4","40","0.274","0.062","-0.939","0.9836","-0.0964","-0.0943","0.1192"
"0.4","40","0.044","-0.981","0.002","0.6227","-0.6567000000000001","-0.3153","-0.2854"
"0.4","40","0.319","-0.919","0.121","0.5982000000000001","-0.7226","-0.3447","-0.0317"
